iter	Passed	Remaining
446	1134	1404
447	1136	1399
448	1137	1395
449	1138	1391
450	1139	1387
451	1142	1384
452	1143	1380
453	1144	1376
454	1145	1372
455	1146	1367
456	1147	1363
457	1148	1358
458	1149	1354
459	1150	1350
460	1151	1345
461	1152	1341
462	1153	1337
463	1158	1338
464	1160	1335
465	1161	1330
466	1162	1326
467	1163	1322
468	1164	1318
469	1165	1313
470	1165	1309
471	1166	1305
472	1168	1301
473	1169	1297
474	1171	1294
475	1172	1290
476	1173	1286
477	1174	1282
478	1175	1278
479	1176	1274
480	1177	1270
481	1177	1265
482	1178	1261
483	1179	1257
484	1180	1253
485	1181	1249
486	1182	1245
487	1188	1246
488	1189	1243
489	1190	1239
490	1191	1235
491	1192	1231
492	1193	1227
493	1194	1223
494	1195	1219
495	1196	1215
496	1197	1212
497	1198	1208
498	1200	1205
499	1201	1201
500	1202	1197
501	1203	1194
502	1204	1190
503	1205	1186
504	1206	1182
505	1207	1178
506	1208	1174
507	1209	1171
508	1210	1167
509	1211	1163
510	1212	1159
511	1217	1160
512	1219	1157
513	1220	1153
514	1221	1150
515	1222	1146
516	1223	1142
517	1224	1138
518	1225	1135
519	1226	1131
520	1227	1128
521	1228	1124
522	1230	1121
523	1231	1118
524	1232	1115
525	1233	1111
526	1234	1108
527	1235	1104
528	1236	1100
529	1237	1097
530	1238	1094
531	1240	1090
532	1241	1087
533	1245	1087
534	1247	1084
535	1248	1080
536	1249	1077
537	1250	1073
538	1251	1070
539	1253	1067
540	1254	1064
541	1255	1060
542	1257	1058
543	1258	1055
544	1259	1051
545	1260	1048
546	1261	1045
547	1262	1041
548	1263	1038
549	1264	1034
550	1265	1031
551	1266	1028
552	1267	1024
553	1268	1021
554	1269	1017
555	1270	1014
556	1276	1014
557	1277	1011
558	1281	1011
559	1283	1008
560	1283	1004
561	1285	1001
562	1286	998
563	1290	997
564	1292	995
565	1294	992
566	1296	990
567	1297	986
568	1298	983
569	1300	981
570	1305	980
571	1306	977
572	1307	974
573	1309	971
574	1311	969
575	1315	968
576	1318	966
577	1320	964
578	1321	961
579	1323	958
580	1325	956
581	1327	953
582	1332	952
583	1334	950
584	1335	947
585	1339	946
586	1340	943
587	1344	942
588	1346	939
589	1347	936
590	1348	933
591	1351	931
592	1353	928
593	1356	927
594	1358	924
595	1359	921
596	1361	918
597	1362	915
598	1364	913
599	1366	910
600	1367	907
601	1368	905
602	1370	902
603	1371	899
604	1372	896
605	1373	893
606	1374	890
607	1375	887
608	1377	884
609	1379	882
610	1381	879
611	1382	876
612	1383	873
613	1384	870
614	1385	867
615	1387	864
616	1388	861
617	1390	859
618	1392	856
619	1393	853
620	1394	851
621	1395	848
622	1396	845
623	1397	842
624	1399	839
625	1400	836
626	1401	833
627	1402	830
628	1406	829
629	1407	826
630	1409	824
631	1410	821
632	1411	818
633	1412	815
634	1414	812
635	1416	810
636	1418	808
637	1419	805
638	1420	802
639	1422	800
640	1423	797
641	1424	794
642	1426	791
643	1427	789
644	1429	786
645	1436	787
646	1438	784
647	1439	782
648	1441	779
649	1443	777
650	1446	775
651	1450	773
652	1466	779
653	1468	776
654	1470	774
655	1472	771
656	1474	769
657	1485	772
658	1495	773
659	1498	772
660	1500	769
661	1502	767
662	1504	764
663	1507	762
664	1510	760
665	1512	758
666	1513	755
667	1515	753
668	1516	750
669	1518	748
670	1520	745
671	1521	742
672	1522	739
673	1523	737
674	1525	734
675	1526	731
676	1528	729
677	1529	726
678	1531	723
679	1532	721
680	1533	718
681	1535	715
682	1536	713
683	1537	710
684	1538	707
685	1539	704
686	1541	702
687	1547	701
688	1548	698
689	1549	696
690	1551	693
691	1552	690
692	1553	688
693	1554	685
694	1555	682
695	1557	680
696	1559	677
697	1560	675
698	1561	672
699	1562	669
700	1563	667
701	1564	664
702	1565	661
703	1566	658
704	1567	655
705	1568	653
706	1569	650
707	1569	647
708	1574	646
709	1578	644
710	1580	642
711	1581	639
712	1582	636
713	1583	634
714	1584	631
715	1585	628
716	1586	626
717	1588	623
718	1589	621
719	1590	618
720	1591	615
721	1592	613
722	1593	610
723	1594	607
724	1595	605
725	1596	602
726	1597	599
727	1598	597
728	1599	594
729	1607	594
730	1608	591
731	1609	589
732	1610	586
733	1611	583
734	1612	581
735	1613	578
736	1614	576
737	1615	573
738	1617	571
739	1618	568
740	1619	566
741	1620	563
742	1621	560
743	1622	558
744	1623	555
745	1624	553
746	1625	550
747	1626	547
748	1627	545
749	1628	542
750	1629	540
751	1634	539
752	1636	536
753	1637	534
754	1638	531
755	1639	529
756	1640	526
757	1641	524
758	1642	521
759	1643	518
760	1644	516
761	1645	513
762	1646	511
763	1648	509
764	1649	506
765	1650	504
766	1651	501
767	1651	499
768	1652	496
769	1653	493
770	1654	491
771	1655	488
772	1656	486
773	1657	484
774	1658	481
775	1659	479
776	1663	477
777	1664	474
778	1665	472
779	1666	469
780	1667	467
781	1668	465
782	1668	462
783	1669	460
784	1670	457
785	1671	455
786	1673	452
787	1674	450
788	1676	448
789	1677	445
790	1678	443
791	1679	440
792	1680	438
793	1681	436
794	1682	433
795	1683	431
796	1684	428
797	1685	426
798	1685	424
799	1691	422
800	1693	420
801	1694	418
802	1694	415
803	1695	413
804	1696	411
805	1697	408
806	1698	406
807	1699	403
808	1700	401
809	1701	399
810	1703	396
811	1704	394
812	1705	392
813	1706	389
814	1707	387
815	1708	385
816	1709	382
817	1709	380
818	1710	378
819	1711	375
820	1712	373
821	1713	371
822	1714	368
823	1715	366
824	1721	365
825	1722	362
826	1723	360
827	1724	358
828	1725	355
829	1726	353
830	1727	351
831	1728	349
832	1729	346
833	1730	344
834	1732	342
835	1733	340
836	1734	337
837	1735	335
838	1736	333
839	1737	330
840	1738	328
841	1739	326
842	1740	324
843	1741	321
844	1742	319
845	1743	317
846	1744	315
847	1749	313
848	1751	311
849	1752	309
850	1753	307
851	1755	304
852	1756	302
853	1757	300
854	1758	298
855	1759	296
856	1762	294
857	1763	291
858	1765	289
859	1766	287
860	1767	285
861	1769	283
862	1770	281
863	1771	278
864	1773	276
865	1774	274
866	1781	273
867	1782	271
868	1783	268
869	1784	266
870	1786	264
871	1787	262
872	1788	260
873	1789	258
874	1791	255
875	1793	253
876	1794	251
877	1796	249
878	1797	247
879	1798	245
880	1799	243
881	1800	240
882	1801	238
883	1803	236
884	1804	234
885	1810	232
886	1812	230
887	1813	228
888	1814	226
889	1815	224
890	1816	222
891	1818	220
892	1819	218
893	1821	215
894	1822	213
895	1824	211
896	1825	209
897	1826	207
898	1828	205
899	1829	203
900	1830	201
901	1831	199
902	1832	196
903	1840	195
904	1843	193
905	1852	192
906	1856	190
907	1859	188
908	1862	186
909	1871	185
910	1872	182
911	1873	180
912	1874	178
913	1876	176
914	1877	174
915	1878	172
916	1879	170
917	1882	168
918	1883	166
919	1885	163
920	1886	161
921	1887	159
922	1888	157
923	1890	155
924	1891	153
925	1892	151
926	1893	149
927	1901	147
928	1903	145
929	1904	143
930	1905	141
931	1906	139
932	1907	137
933	1908	134
934	1909	132
935	1912	130
936	1913	128
937	1914	126
938	1915	124
939	1916	122
940	1917	120
941	1918	118
942	1919	116
943	1920	113
944	1921	111
945	1922	109
946	1923	107
947	1924	105
948	1928	103
949	1929	101
950	1930	99
951	1931	97
952	1932	95
953	1934	93
954	1935	91
955	1936	89
956	1937	87
957	1939	85
958	1941	82
959	1942	80
960	1944	78
961	1945	76
962	1946	74
963	1947	72
964	1948	70
965	1949	68
966	1951	66
967	1952	64
968	1954	62
969	1955	60
970	1957	58
971	1958	56
972	1959	54
973	1960	52
974	1961	50
975	1962	48
976	1965	46
977	1966	44
978	1969	42
979	1970	40
980	1971	38
981	1973	36
982	1974	34
983	1976	32
984	1977	30
985	1983	28
986	1985	26
987	1986	24
988	1987	22
989	1988	20
990	1990	18
991	1991	16
992	1992	14
993	1994	12
994	1996	10
995	1997	8
996	1998	6
997	1999	4
998	2001	2
999	2002	0
